Betashares Portfolio Holdings,
,
Fund Name,Betashares Australia 200 ETF
Fund ASX Code,A200
Date,2026-08-27
,
Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
LTR AT,LIONTOWN RESOURCES LTD,Equities,Materials,Australia,AUD,0.08615728,8260391.0,9458147.7,9458147.7
HVN AT,HARVEY NORMAN HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.08596058,2097012.0,9436554.0,9436554.0
PPT AT,PERPETUAL LTD,Equities,Financials,Australia,AUD,0.08470315,459640.0,9298517.2,9298517.2
NEU AT,NEUREN PHARMACEUTICALS LTD,Equities,Healthcare,Australia,AUD,0.08462192,441941.0,9289599.82,9289599.82
YAL AT,YANCOAL AUSTRALIA LTD,Equities,Energy,Australia,AUD,0.08446107,1550492.0,9271942.16,9271942.16
CLW AT,CHARTER HALL LONG WALE REIT,Equities,Real Estate,Australia,AUD,0.08368073,2617173.0,9186277.23,9186277.23
BWP AT,BWP PROPERTY GROUP LTD,Equities,Real Estate,Australia,AUD,0.08271555,2467479.0,9080322.72,9080322.72
TAH AT,TABCORP HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.080557,9211835.0,8843361.6,8843361.6
SRG AT,SRG GLOBAL LTD,Equities,Industrials,Australia,AUD,0.07878314,2269982.0,8648631.42,8648631.42
OBM AT,ORA BANDA MINING LTD,Equities,Materials,Australia,AUD,0.07747638,5400113.0,8505177.98,8505177.98
NWS AT,NEWS CORP,Equities,Communication Services,Australia,AUD,0.07694821,173632.0,8447196.8,8447196.8
SUL AT,SUPER RETAIL GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.07538154,628338.0,8275211.46,8275211.46
MSB AT,MESOBLAST LTD,Equities,Healthcare,Australia,AUD,0.07511527,3421569.0,8245981.29,8245981.29
FLT AT,FLIGHT CENTRE TRAVEL GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.07246873,652621.0,7955449.99,7955449.99
HDN AT,HOMECO DAILY NEEDS REIT,Equities,Real Estate,Australia,AUD,0.07220708,7141195.0,7926726.45,7926726.45
EOS AT,ELECTRO OPTIC SYSTEMS HOLDINGS,Equities,Industrials,Australia,AUD,0.07217899,719677.0,7923643.77,7923643.77
CQR AT,CHARTER HALL RETAIL REIT,Equities,Real Estate,Australia,AUD,0.07212683,2004536.0,7917917.2,7917917.2
CNU AT,CHORUS LTD,Equities,Communication Services,Australia,AUD,0.06975585,1036216.0,7657636.24,7657636.24
NXG AT,NEXGEN ENERGY LTD,Equities,Energy,Australia,AUD,0.06959305,499331.0,7639764.3,7639764.3
LLC AT,LENDLEASE CORP LTD,Equities,Real Estate,Australia,AUD,0.06831865,2622330.0,7499863.8,7499863.8
4DX AT,4DMEDICAL LTD,Equities,Healthcare,Australia,AUD,0.06650255,2005631.0,7300496.84,7300496.84
PRN AT,PERENTI LTD,Equities,Materials,Australia,AUD,0.06644958,3171601.0,7294682.3,7294682.3
IMD AT,IMDEX LTD,Equities,Materials,Australia,AUD,0.06495631,2031554.0,7130754.54,7130754.54
DRR AT,DETERRA ROYALTIES LTD,Equities,Materials,Australia,AUD,0.06425738,1707997.0,7054027.61,7054027.61
TPG AT,TPG TELECOM LTD,Equities,Communication Services,Australia,AUD,0.06352973,1879824.0,6974147.04,6974147.04
IFT AT,INFRATIL LTD,Equities,Financials,Australia,AUD,0.06315663,582621.0,6933189.9,6933189.9
LOV AT,LOVISA HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.06313889,257667.0,6931242.3,6931242.3
NIC AT,NICKEL INDUSTRIES LTD,Equities,Materials,Australia,AUD,0.06295635,8130827.0,6911202.95,6911202.95
GYG AT,GUZMAN Y GOMEZ LTD,Equities,Consumer Discretionary,Australia,AUD,0.06272625,233977.0,6885943.11,6885943.11
BGA AT,BEGA CHEESE LTD,Equities,Consumer Staples,Australia,AUD,0.06067068,1086507.0,6660287.91,6660287.91
FBU AT,FLETCHER BUILDING LTD,Equities,Industrials,Australia,AUD,0.06022322,2034205.0,6611166.25,6611166.25
ORA AT,ORORA LTD,Equities,Materials,Australia,AUD,0.05963505,4408484.0,6546598.74,6546598.74
CYL AT,CATALYST METALS LTD,Equities,Materials,Australia,AUD,0.0594205,972138.0,6523045.98,6523045.98
DTL AT,DATA#3 LTD,Equities,Information Technology,Australia,AUD,0.05841377,584019.0,6412528.62,6412528.62
DYL AT,DEEP YELLOW LTD,Equities,Energy,Australia,AUD,0.05820756,3661829.0,6389891.6,6389891.6
DRO AT,DRONESHIELD LTD,Equities,Industrials,Australia,AUD,0.05792626,3542625.0,6359011.88,6359011.88
SRL AT,SUNRISE ENERGY METALS LTD,Equities,Materials,Australia,AUD,0.05737537,364921.0,6298536.46,6298536.46
MI6 AT,MINERALS 260 LTD,Equities,Materials,Australia,AUD,0.05675244,6961064.0,6230152.28,6230152.28
CIP AT,CENTURIA INDUSTRIAL REIT,Equities,Real Estate,Australia,AUD,0.05528798,2092892.0,6069386.8,6069386.8
MFG AT,MAGELLAN FINANCIAL GROUP LTD,Equities,Financials,Australia,AUD,0.05470611,632159.0,6005510.5,6005510.5
ARB AT,ARB CORP LTD,Equities,Consumer Discretionary,Australia,AUD,0.05419114,304140.0,5948978.4,5948978.4
DVP AT,DEVELOP GLOBAL LTD,Equities,Materials,Australia,AUD,0.05349436,1037542.0,5872487.72,5872487.72
SLC AT,SUPERLOOP LTD,Equities,Communication Services,Australia,AUD,0.05280687,1978504.0,5797016.72,5797016.72
INA AT,INGENIA COMMUNITIES GROUP,Equities,Real Estate,Australia,AUD,0.05252477,1497675.0,5766048.75,5766048.75
ELV AT,ELEVRA LITHIUM LTD,Equities,Materials,Australia,AUD,0.05236923,686035.0,5748973.3,5748973.3
FFM AT,FIREFLY METALS LTD,Equities,Materials,Australia,AUD,0.0519209,2984166.0,5699757.06,5699757.06
WPR AT,WAYPOINT REIT LTD,Equities,Real Estate,Australia,AUD,0.0511118,2309027.0,5610935.61,5610935.61
SIQ AT,SMARTGROUP CORP LTD,Equities,Industrials,Australia,AUD,0.05072693,492804.0,5568685.2,5568685.2
CIA AT,CHAMPION IRON LTD,Equities,Materials,Australia,AUD,0.04966137,1544394.0,5451710.82,5451710.82
HLI AT,HELIA GROUP LTD,Equities,Financials,Australia,AUD,0.04927486,1062727.0,5409280.43,5409280.43
SLX AT,SILEX SYSTEMS LTD,Equities,Industrials,Australia,AUD,0.04914069,920572.0,5394551.92,5394551.92
KCN AT,KINGSGATE CONSOLIDATED LTD,Equities,Materials,Australia,AUD,0.04684631,970317.0,5142680.1,5142680.1
DMP AT,DOMINO'S PIZZA ENTERPRISES LTD,Equities,Consumer Discretionary,Australia,AUD,0.04661498,252083.0,5117284.9,5117284.9
GNC AT,GRAINCORP LTD,Equities,Consumer Staples,Australia,AUD,0.04634275,839505.0,5087400.3,5087400.3
BPT AT,BEACH ENERGY LTD,Equities,Energy,Australia,AUD,0.04622055,5865879.0,5073985.34,5073985.34
ELD AT,ELDERS LTD,Equities,Consumer Staples,Australia,AUD,0.04492183,835833.0,4931414.7,4931414.7
ASB AT,AUSTAL LTD,Equities,Industrials,Australia,AUD,0.04227178,1129075.0,4640498.25,4640498.25
NCK AT,NICK SCALI LTD,Equities,Consumer Discretionary,Australia,AUD,0.04217345,311136.0,4629703.68,4629703.68
GDG AT,GENERATION DEVELOPMENT GROUP L,Equities,Financials,Australia,AUD,0.0416682,1407458.0,4574238.5,4574238.5
KAR AT,KAROON ENERGY LTD,Equities,Energy,Australia,AUD,0.04148781,2686983.0,4554436.19,4554436.19
GQG AT,GQG PARTNERS INC,Equities,Financials,Australia,AUD,0.04117897,3386167.0,4520532.94,4520532.94
NEC AT,NINE ENTERTAINMENT CO HOLDINGS,Equities,Communication Services,Australia,AUD,0.04037116,4545490.0,4431852.75,4431852.75
PXA AT,PEXA GROUP LTD,Equities,Real Estate,Australia,AUD,0.03923644,532421.0,4307285.89,4307285.89
IRE AT,IRESS LTD,Equities,Information Technology,Australia,AUD,0.03862813,707931.0,4240506.69,4240506.69
